,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
0,,Yahoo Entertainment,Cristina Alexander,Overwatch 2 shows off Transformers skins in animated trailer,"Blizzard and Hasbro have revealed the Transformers skins for Overwatch 2’s upcoming collaboration with the popular mecha toy franchise. The two companies released an animated trailer
 on the Overwatch YouTube channel today, showing off the skins based on thr…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f7cfb0fb-e002-4dd9-9f52-afb6eebbc263,,2024-07-08T22:23:59Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
1,,Yahoo Entertainment,Will Shanklin,The makers of Palworld have formed a new company in partnership with Sony,"The maker of Xbox Game Pass stalwart Palworld said on Wednesday it’s forming a new company in partnership with… Sony. Palworld developer and publisher Pocketpair announced its new team-up with Sony Music Entertainment to create Palworld Entertainment, Inc. Th…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_509eab5d-8602-4ea6-82a6-d24d6b79bdac,,2024-07-10T18:48:24Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
2,,Yahoo Entertainment,Cheyenne MacDonald,What to read this weekend: Keanu Reeves wrote a book with ‘weird fiction’ author China Miéville,"New releases in fiction, nonfiction and comics that caught our attention.
The Book of Elsewhere by Keanu Reeves and China Miéville


A few years ago, Keanu Reeves took a dive into the world of comics with a series called BRZRKR, which he wrote with longtime …",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a68fa7d6-ba52-4dd3-8370-e0f1fcd2b694,,2024-07-27T17:39:09Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
3,,Gizmodo.com,Gordon Jackson,Terminator: Zero Debuts its First Trailer Just In Time for Armageddon,"Netflix has released a trailer for its new Terminator anime series from Skydance, Production I.G, Masashi Kudō and Mattson Tomlin.",https://gizmodo.com/terminator-zero-anime-trailer-netflix-2000473348,https://gizmodo.com/app/uploads/2024/07/unnamed-2.jpg,2024-07-15T14:15:01Z,"Netflix has released a trailer for its new Terminator anime series from Skydance, Production I.G, Masashi Kud and Mattson Tomlin. Take a look:
Starring the voices of Timothy Olyphant, Rosario Dawson… [+1580 chars]"
4,,Gizmodo.com,Cheryl Eddy,First Trailer for Rick and Morty: The Anime Reveals a Familiar (Yet Skewed) New Dimension,Adult Swim's new 10-episode anime series based on Rick and Morty comes from acclaimed director Takashi Sano.,https://gizmodo.com/first-trailer-for-rick-and-morty-the-anime-reveals-a-familiar-yet-skewed-new-dimension-2000469442,https://gizmodo.com/app/uploads/2024/07/Screenshot-2024-07-11-at-9.40.00 AM.jpg,2024-07-11T18:45:32Z,"Rick and Morty fans are used to seeing the show’s portal-hopping characters visit bizarre worlds that in no way resemble our own; they’re also familiar with seeing Rick, Morty, and the rest of the ga… [+1781 chars]"
5,,Gizmodo.com,Cheryl Eddy,Rick and Morty: The Anime‘s Creators on How Their Show Is Different From the Original,The new series premieres August 15 on Adult Swim; a Japanese language version arrives August 17.,https://gizmodo.com/rick-and-morty-the-animes-creators-on-how-their-show-is-different-from-the-original-2000479945,https://gizmodo.com/app/uploads/2024/07/Screenshot-2024-07-26-at-6.38.04 PM.jpg,2024-07-27T14:45:39Z,"Rick and Morty: The Anime arrives next month, and it’ll be the only new Rick and Morty content for hungry fans until the original series returns for its eighth season in 2025. But if you love Rick, M… [+2727 chars]"
6,,Gizmodo.com,James Whitbrook,You Have to Watch This Gloriously Retro Alien Anime Fan Film,"Paul ""OtaKing"" Johnson, who went viral nearly a decade ago for his Star Wars TIE Fighter anime short, spent six years bringing Alien: Monday to life.",https://gizmodo.com/alien-monday-anime-short-film-otaking-2000478654,https://gizmodo.com/app/uploads/2024/07/sdfgoihdofigh-8.png,2024-07-24T22:00:14Z,"It’s a universally accepted truth that Mondays suck. But not all of us take our Mondays working in space, and even less of us take them with the surprise, horrifying arrival of a Xenomorph. So some M… [+1313 chars]"
7,,Gizmodo.com,Justin Carter,Batman Ninja’s Sequel Brings His Coworkers Along For the Anime Ride,"After beating his rogues gallery in the first film, Batman now has to fight an evil Justice League with some sick new designs.",https://gizmodo.com/batman-ninja-yakuza-league-teaser-2000377267,https://gizmodo.com/app/uploads/2024/07/batman-ninja.jpg,2024-07-07T18:50:47Z,"Last month, WB revealed a sequel to its 2018 movie Batman Ninja was in the works. With the intriguing title of Batman Ninja vs. the Yakuza League, you had to wonder what the Dark Knight would be up t… [+1613 chars]"
8,,Gizmodo.com,Gordon Jackson,Giancarlo Esposito Teases His Intriguing Captain America: Brave New World Character,"Plus, get another new look at Jack Kesy's Hellboy in a new image from The Crooked Man.",https://gizmodo.com/giancarlo-esposito-captain-america-brave-new-world-2000471735,https://gizmodo.com/app/uploads/2024/07/sdfgoihdofigh-6-1.jpg,2024-07-15T13:00:25Z,"Rick &amp; Morty: The Anime gives a sneak peek of its hijinks in Japanese. Meet Rings of Power‘s biggest creatures yet. Get a look at Batman: Caped Crusader‘s slick new ride. Plus, Evil goes tinfoil … [+2557 chars]"
9,,Gizmodo.com,Gordon Jackson,Todd McFarlane’s Spawn Movie Might Actually Be Getting Closer to Happening,"Plus, a new behind-the-scenes image assembles Marvel's Fantastic Four.",https://gizmodo.com/spawn-movie-blumhouse-director-todd-mcfarlane-2000478945,https://gizmodo.com/app/uploads/2024/07/MS-726-Spawn.jpg,2024-07-26T13:00:56Z,"Sputnik‘s Egor Abramenko is forming a wild new cast for his new A24 horror. The Long Walk adaptation finds a few more stars. The first clip from the new Crow gets brutal. Plus, get another new look a… [+2482 chars]"
10,,Gizmodo.com,Sherri L Smith,Amazon Prime Video’s New Look Hopes to End Decision Paralysis,Amazon Prime Video is rolling out a redesign that leans heavily on AI recommendations in order to streamline your viewing experience so you can get down to enjoying a movie or TV series in a quicker fashion.,https://gizmodo.com/amazon-prime-videos-new-look-hopes-to-end-decision-paralysis-2000477788,https://gizmodo.com/app/uploads/2024/07/Amazon-Prime-Video-Redesign.jpg,2024-07-23T17:00:15Z,How much time do you spend looking for something to stream when you’re ready to settle in for the night? It can take a long while if you’re anything like my boyfriend and me and our discordant tastes… [+1903 chars]
11,,Gizmodo.com,Germain Lussier,10 Things We’re Sad Won’t Be at Comic-Con This Year,"Marvel and Lord of the Rings will be in San Diego, but not DC and Game of Thrones. here's our list of things not at SDCC.",https://gizmodo.com/10-things-were-sad-wont-be-at-comic-con-this-year-2000476006,https://gizmodo.com/app/uploads/2024/07/sdcc-wishlist.jpg,2024-07-23T19:30:13Z,"“Beetlejuice, Beetlejuice, Beetlejuice!” Dang it. Didn’t work. We’re sorry. We tried to get the Ghost with the Most to come to Comic-Con, and bring his Warner Bros. friends with him, but even saying … [+4544 chars]"
12,,CNET,Kourtnee Jackson,Heat Wave Entertainment: Which Streaming Services Deserve Your Summer Subscription?,"July's hottest releases like Cobra Kai, Descendants 4, Élite and The Boys' finale will keep summer sizzling.",https://www.cnet.com/tech/services-and-software/heat-wave-entertainment-which-streaming-services-deserve-your-subscription/,https://www.cnet.com/a/img/resize/e4607b171d5bcca2ac4d6285ad415b2632005398/hub/2024/06/28/cd89d462-56ce-44a4-8f6f-c05d2d25f8fa/beverly-hills-cop-axel-f-netflix.jpg?auto=webp&fit=crop&height=675&width=1200,2024-07-13T13:15:04Z,"The weather is scorching, and with school out for the summer, many of you are looking for ways to beat the heat. Luckily, July is promising for fans of cult-favorite franchises. Netflix has Beverly H… [+7331 chars]"
13,,ReadWrite,Paul McNally,"All the Once Human codes out there, how to redeem them and what they do","Once Human reminds us of an anime in a lot of ways and what do a lot of anime-type games… Continue reading All the Once Human codes out there, how to redeem them and what they do
The post All the Once Human codes out there, how to redeem them and what they do…",https://readwrite.com/once-human-codes/,https://readwrite.com/wp-content/uploads/2024/07/once_human_gear.jpg,2024-07-10T11:20:36Z,"Once Human reminds us of an anime in a lot of ways and what do a lot of anime-type games have? Codes thats what. Its still a little surprising to see a code mechanic in a survival game such as this, … [+1456 chars]"
14,,ReadWrite,Owen Good,Overwatch 2’s crossover with The Transformers goes live with — wait for it — Optimus Prime-hardt,"Overwatch 2’s latest crossover — with Hasbro’s Transformers franchise — was announced back in June, and now fans have their… Continue reading Overwatch 2’s crossover with The Transformers goes live with — wait for it — Optimus Prime-hardt
The post Overwatch 2…",https://readwrite.com/overwatch-2-transformers-collab-skins-revealed-trailer-characters-prices/,https://readwrite.com/wp-content/uploads/2024/07/Screenshot-2024-07-09-at-10.08.46 AM.png,2024-07-09T14:21:53Z,"Overwatch 2s latest crossover with Hasbros Transformers franchise was announced back in June, and now fans have their first trailer showing what it looks like. Its full of anime and woop-woop-wak-wak… [+1236 chars]"
15,,ReadWrite,Suswati Basu,Pirate site Animeflix unexpectedly shuts down,"Unauthorized streaming site Animeflix has been shut down, according to TorrentFreak. The anime-focused site unexpectedly went offline on Thursday (July… Continue reading Pirate site Animeflix unexpectedly shuts down
The post Pirate site Animeflix unexpectedly…",https://readwrite.com/pirate-site-animeflix-shuts-down/,https://readwrite.com/wp-content/uploads/2024/07/Pirate-site-Animeflix-unexpectedly-shuts-down.png,2024-07-08T15:02:56Z,"Unauthorized streaming site Animeflix has been shut down, according to TorrentFreak. The anime-focused site unexpectedly went offline on Thursday (July 4).
The sudden closure of this anime piracy si… [+2142 chars]"
